Global Land August Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Anomaly
1850,-0.18
1851,-0.20
1852,-0.04
1853,-0.15
1854,-0.26
1855,-0.39
1856,-0.72
1857,-0.28
1858,-0.51
1859,-0.44
1860,-0.50
1861,-0.26
1862,-0.57
1863,-0.36
1864,-0.48
1865,-0.53
1866,-0.58
1867,-0.50
1868,-0.37
1869,-0.32
1870,-0.56
1871,-0.38
1872,-0.35
1873,-0.30
1874,-0.32
1875,-0.26
1876,-0.46
1877,-0.24
1878,-0.22
1879,-0.51
1880,-0.31
1881,-0.24
1882,-0.18
1883,-0.39
1884,-0.61
1885,-0.62
1886,-0.41
1887,-0.64
1888,-0.45
1889,-0.19
1890,-0.38
1891,-0.32
1892,-0.46
1893,-0.53
1894,-0.26
1895,-0.31
1896,-0.22
1897,-0.11
1898,-0.23
1899,-0.08
1900,-0.10
1901,-0.12
1902,-0.25
1903,-0.37
1904,-0.32
1905,-0.32
1906,-0.20
1907,-0.40
1908,-0.44
1909,-0.17
1910,-0.29
1911,-0.49
1912,-0.66
1913,-0.26
1914,-0.28
1915,-0.09
1916,-0.33
1917,-0.43
1918,-0.47
1919,-0.18
1920,-0.24
1921,-0.29
1922,-0.24
1923,-0.32
1924,-0.21
1925,-0.16
1926,-0.06
1927,-0.16
1928,-0.16
1929,-0.20
1930,0.00
1931,0.16
1932,-0.03
1933,-0.09
1934,-0.07
1935,-0.05
1936,0.07
1937,0.12
1938,0.10
1939,0.11
1940,0.05
1941,0.20
1942,-0.10
1943,-0.11
1944,0.00
1945,0.29
1946,-0.06
1947,-0.16
1948,-0.01
1949,0.03
1950,-0.27
1951,0.15
1952,0.03
1953,0.23
1954,0.15
1955,0.14
1956,-0.42
1957,0.49
1958,-0.25
1959,0.00
1960,-0.14
1961,0.03
1962,0.03
1963,0.22
1964,-0.38
1965,-0.01
1966,-0.12
1967,0.11
1968,-0.22
1969,-0.02
1970,-0.01
1971,-0.03
1972,0.03
1973,0.17
1974,0.02
1975,-0.05
1976,-0.09
1977,0.16
1978,-0.21
1979,0.20
1980,0.24
1981,0.41
1982,0.09
1983,0.47
1984,0.15
1985,0.16
1986,-0.01
1987,0.15
1988,0.94
1989,0.30
1990,0.40
1991,0.45
1992,-0.06
1993,-0.16
1994,0.21
1995,0.77
1996,0.64
1997,0.33
1998,1.03
1999,0.48
2000,0.72
2001,0.50
2002,0.70
2003,0.67
2004,0.31
2005,0.70
2006,1.17
2007,0.99
2008,0.48
2009,0.92
2010,0.95
2011,1.26
2012,0.87
2013,0.95
2014,1.14
2015,0.98
2016,1.42
2017,1.20
2018,0.97
2019,1.21
2020,1.23
2021,1.18
2022,1.37
2023,1.66
