Global Land August Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Anomaly
1850,-0.18
1851,-0.20
1852,-0.04
1853,-0.16
1854,-0.28
1855,-0.40
1856,-0.74
1857,-0.29
1858,-0.52
1859,-0.46
1860,-0.52
1861,-0.28
1862,-0.59
1863,-0.38
1864,-0.50
1865,-0.54
1866,-0.59
1867,-0.52
1868,-0.39
1869,-0.34
1870,-0.58
1871,-0.43
1872,-0.38
1873,-0.32
1874,-0.34
1875,-0.30
1876,-0.48
1877,-0.25
1878,-0.26
1879,-0.52
1880,-0.33
1881,-0.25
1882,-0.21
1883,-0.40
1884,-0.62
1885,-0.61
1886,-0.41
1887,-0.63
1888,-0.44
1889,-0.18
1890,-0.37
1891,-0.30
1892,-0.45
1893,-0.52
1894,-0.26
1895,-0.30
1896,-0.20
1897,-0.09
1898,-0.21
1899,-0.07
1900,-0.08
1901,-0.10
1902,-0.23
1903,-0.35
1904,-0.31
1905,-0.31
1906,-0.19
1907,-0.39
1908,-0.43
1909,-0.17
1910,-0.28
1911,-0.50
1912,-0.66
1913,-0.26
1914,-0.27
1915,-0.08
1916,-0.33
1917,-0.44
1918,-0.48
1919,-0.18
1920,-0.25
1921,-0.29
1922,-0.24
1923,-0.32
1924,-0.21
1925,-0.16
1926,-0.08
1927,-0.16
1928,-0.16
1929,-0.20
1930,0.01
1931,0.15
1932,-0.03
1933,-0.09
1934,-0.07
1935,-0.04
1936,0.08
1937,0.12
1938,0.10
1939,0.12
1940,0.06
1941,0.21
1942,-0.10
1943,-0.11
1944,0.00
1945,0.30
1946,-0.05
1947,-0.16
1948,-0.01
1949,0.02
1950,-0.27
1951,0.15
1952,0.03
1953,0.22
1954,0.15
1955,0.14
1956,-0.43
1957,0.48
1958,-0.25
1959,0.00
1960,-0.15
1961,0.02
1962,0.03
1963,0.22
1964,-0.38
1965,-0.01
1966,-0.12
1967,0.11
1968,-0.23
1969,-0.02
1970,-0.01
1971,-0.03
1972,0.03
1973,0.17
1974,0.02
1975,-0.05
1976,-0.09
1977,0.16
1978,-0.21
1979,0.20
1980,0.25
1981,0.41
1982,0.09
1983,0.47
1984,0.15
1985,0.16
1986,-0.01
1987,0.15
1988,0.94
1989,0.30
1990,0.40
1991,0.45
1992,-0.06
1993,-0.16
1994,0.21
1995,0.77
1996,0.63
1997,0.37
1998,1.00
1999,0.45
2000,0.69
2001,0.51
2002,0.73
2003,0.70
2004,0.32
2005,0.71
2006,1.17
2007,1.00
2008,0.49
2009,0.93
2010,0.98
2011,1.26
2012,0.87
2013,0.95
2014,1.13
2015,0.98
2016,1.41
2017,1.20
2018,0.96
2019,1.18
2020,1.22
2021,1.18
2022,1.38
2023,1.72
